iso_code,year,fertility_rate,current_usd,deflation,annual_rate,female_participation,unemployment,married_percentage,WGI,CPI10,CPI100,log_gdppc
CUB,1961,4.265,,,,,,,,,,
CUW,1961,5.042,,,,,,,,,,
CYM,1961,4.781,,,,,,,,,,
CYP,1961,3.619,,,,,,,,,,
CZE,1961,2.11,,,,,,,,,,
DEU,1961,2.45,1315.90787834504,5.06399483595229,3.49857633754951,,,,,,,7.182282108177492
DJI,1961,6.848,,,,,,,,,,
DMA,1961,6.156,,,,,,,,,,
DNK,1961,2.55,1530.53779004389,4.30662538245008,5.63874355341876,,,,,,,7.333374449386679
DOM,1961,7.487,193.908988795022,-0.417940393839871,-5.35100129947251,,,,,,,5.267388919064891
DZA,1961,7.564,209.370672655334,3.47172028312757,-15.1207305043075,,,,,,,5.344106234450924
EAP,1961,4.37755549899838,79.558508230374,,-13.3933331937838,,,,,,,4.376492703563302
EAR,1961,6.16668872661336,158.356881381778,2.18302615562614,2.13158048226983,,,,,,,5.0648512288246295
EAS,1961,4.15886057355196,151.723859934299,,3.58872007836453,,,,,,,5.022062157666989
ECA,1961,3.93068784200818,,,,,,,,,,
ECS,1961,2.83207926574286,694.427539128085,,3.9859591474297,,,,,,,6.5430878214423585
ECU,1961,6.7,371.395176462235,-11.3204429779194,2.19841221373321,,,,,,,5.917266661387405
EGY,1961,6.758,162.841644181754,1.60997143777944,2.47723455139828,,,,,,,5.092778220499513
EMU,1961,2.63015351026318,1026.60540604834,2.65304048912669,4.81425078686759,,,,,,,6.934012916085784
ERI,1961,6.474,,,,,,,,,,
ESP,1961,2.77,463.19044087717,2.46638975371505,10.8044868564989,,,,,,,6.138138288906739
EST,1961,1.98,,,,,,,,,,
ETH,1961,6.533,76.7301966411733,,,,,,,,,4.34029532895409
EUU,1961,2.57127117139189,877.751258535598,2.78215888207644,4.85472492451396,,,,,,,6.77736324886762
FCS,1961,5.6112367946639,142.23863609896,,-2.28036362679114,,,,,,,4.957506182989026
FIN,1961,2.72,1341.49900625891,5.34177802217019,6.84796518131141,,,,,,,7.201542929096795
FJI,1961,6.284,280.273366731046,0.608978744452742,0.412843178739976,,,,,,,5.635765436642591
FRA,1961,2.87,1394.53557125112,3.21833328195196,3.7252572252185,,,,,,,7.2403167149897
FRO,1961,3.757,,,,,,,,,,
FSM,1961,6.74,,,,,,,,,,
GAB,1961,4.504,323.4592026542,3.2784459977796,13.4492519943536,,,,,,,5.779072993636347
GBR,1961,2.78,1472.38571407868,3.3634395197921,1.92327393392763,,,,,,,7.2946392989847455
GEO,1961,2.943,,0.696775523784282,3.2236940862677,,,,,,,
GHA,1961,6.912,181.870010833085,3.47084986522219,0.520685688130399,,,,,,,5.203292205703916
GIB,1961,3.26,,,,,,,,,,
GIN,1961,6.126,,,,,,,,,,
GMB,1961,6.228,,,,,,,,,,
